x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-06,+10.25125636160E+00,+19.71984839439E+00,+236.04649026E-03,-93.81282050E-03
-24.97500E-06,+12.41206039861E+00,+19.71984839439E+00,+248.70980671E-03,-83.76256935E-03
-24.95000E-06,+12.06030160189E+00,+19.71984839439E+00,+232.42839985E-03,-53.61181591E-03
-24.92500E-06,+12.06030160189E+00,+19.71984839439E+00,+209.81533476E-03,-53.61181591E-03
-24.90000E-06,+12.26130662858E+00,+19.71984839439E+00,+199.86558612E-03,-63.66206706E-03
-24.87500E-06,+12.06030160189E+00,+19.71984839439E+00,+202.57915393E-03,-73.71231820E-03
-24.85000E-06,+11.85929657519E+00,+19.71984839439E+00,+205.29272174E-03,-73.71231820E-03
-24.82500E-06,+11.65829154849E+00,+20.07361724973E+00,+207.10176695E-03,-73.71231820E-03
-24.80000E-06,+11.45728652179E+00,+19.71984839439E+00,+207.10176695E-03,-63.66206706E-03
-24.77500E-06,+11.10552772507E+00,+19.80829060823E+00,+202.57915393E-03,-66.17462984E-03
-24.75000E-06,+10.95477395505E+00,+20.07361724973E+00,+167.30277240E-03,-23.46106246E-03
-24.72500E-06,+10.90452269837E+00,+6.36507410556E+00,+143.78518471E-03,-3.36056016E-03
-24.70000E-06,+10.85427144170E+00,+3.09271219372E+00,+203.48367654E-03,-33.51131361E-03
-24.67500E-06,+10.90452269837E+00,-887.18742878E-03,+245.09171629E-03,+54.42838394E-03
-24.65000E-06,+10.85427144170E+00,-1.86005178094E+00,+227.00126423E-03,+77.04144903E-03
-24.62500E-06,+10.85427144170E+00,-798.74521494E-03,+199.86558612E-03,+6.68969098E-03
-24.60000E-06,+10.85427144170E+00,-444.97635961E-03,+192.62940530E-03,+6.68969098E-03
-24.57500E-06,+10.85427144170E+00,-91.20750427E-03,+203.48367654E-03,+89.60426296E-03
-24.55000E-06,+10.85427144170E+00,-1.15251407027E+00,+207.10176695E-03,+127.29270477E-03
-24.52500E-06,+10.85427144170E+00,-1.15251407027E+00,+207.10176695E-03,+46.89069558E-03
-24.50000E-06,+10.85427144170E+00,-798.74521494E-03,+196.24749571E-03,-3.36056016E-03
-24.47500E-06,+11.00502521172E+00,-444.97635961E-03,+198.96106352E-03,+56.94094673E-03
-24.45000E-06,+11.05527646840E+00,-621.86078727E-03,+205.29272174E-03,+137.34295592E-03
-24.42500E-06,+11.00502521173E+00,-1.15251407027E+00,+209.81533476E-03,+117.24245362E-03
-24.40000E-06,+11.05527646840E+00,-1.15251407027E+00,+203.48367654E-03,+56.94094673E-03
