x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-10.00000E-06,+3.21608042717E+00,+20.13505026698E+00,+236.81408167E-03,-16.47612266E-03
-9.99000E-06,+10.85427144170E+00,+19.73304021358E+00,+223.94976020E-03,+7.64448009E-03
-9.98000E-06,+12.26130662858E+00,+19.73304021358E+00,+280.23116663E-03,-20.49622312E-03
-9.97000E-06,+12.26130662858E+00,+19.33103016019E+00,+286.66332737E-03,-4.41582128E-03
-9.96000E-06,+12.26130662858E+00,+19.73304021358E+00,+220.73367983E-03,+7.64448009E-03
-9.95000E-06,+12.06030160189E+00,+19.73304021358E+00,+257.71860406E-03,-12.45602220E-03
-9.94000E-06,+12.06030160189E+00,+19.73304021358E+00,+256.11056387E-03,-4.41582128E-03
-9.93000E-06,+12.26130662858E+00,+19.73304021358E+00,+227.16584057E-03,+19.70478147E-03
-9.92000E-06,+12.26130662858E+00,+19.73304021358E+00,+254.50252369E-03,-8.43592174E-03
-9.91000E-06,+12.06030160189E+00,+19.73304021359E+00,+252.89448351E-03,-12.45602220E-03
-9.90000E-06,+12.26130662858E+00,+19.73304021358E+00,+230.38192093E-03,+3.62437963E-03
-9.89000E-06,+12.26130662858E+00,+19.73304021358E+00,+249.67840314E-03,-4.41582128E-03
-9.88000E-06,+12.06030160189E+00,+19.73304021358E+00,+249.67840314E-03,-4.41582128E-03
-9.87000E-06,+12.06030160189E+00,+19.73304021358E+00,+238.42212185E-03,+3.62437963E-03
-9.86000E-06,+12.06030160189E+00,+19.73304021358E+00,+244.85428259E-03,-395.72082E-06
-9.85000E-06,+12.06030160189E+00,+19.73304021358E+00,+248.07036296E-03,-4.41582128E-03
-9.84000E-06,+12.06030160189E+00,+19.73304021358E+00,+238.42212185E-03,+3.62437963E-03
-9.83000E-06,+11.85929657519E+00,+19.73304021358E+00,+244.85428259E-03,-395.72082E-06
-9.82000E-06,+12.06030160189E+00,+19.73304021358E+00,+243.24624240E-03,-4.41582128E-03
-9.81000E-06,+11.65829154849E+00,+19.73304021358E+00,+238.42212185E-03,-395.72082E-06
-9.80000E-06,+11.65829154849E+00,+19.73304021358E+00,+246.46232277E-03,-4.41582128E-03
-9.79000E-06,+11.45728652179E+00,+19.33103016019E+00,+244.85428259E-03,-395.72082E-06
-9.78000E-06,+11.25628149509E+00,+19.73304021358E+00,+238.42212185E-03,-4.41582128E-03
-9.77000E-06,+11.25628149509E+00,+19.73304021358E+00,+243.24624240E-03,-395.72082E-06
-9.76000E-06,+11.05527646840E+00,+20.53706032038E+00,+256.11056387E-03,+47.84548469E-03
-9.75000E-06,+10.85427144170E+00,+19.73304021358E+00,+262.54272461E-03,-56.67712726E-03
-9.74000E-06,+11.05527646839E+00,+19.73304021358E+00,+233.59800130E-03,-4.41582128E-03
-9.73000E-06,+11.05527646840E+00,+12.49685925246E+00,+182.14071542E-03,+75.98618791E-03
-9.72000E-06,+11.05527646840E+00,+6.86871850491E+00,+225.55780038E-03,-4.41582128E-03
-9.71000E-06,+10.85427144170E+00,+4.85866823792E+00,+241.63820222E-03,-68.73742864E-03
-9.70000E-06,+11.05527646840E+00,+3.25062802434E+00,+207.86935836E-03,+43.82538423E-03
-9.69000E-06,+10.85427144170E+00,+2.44660791755E+00,+254.50252369E-03,+51.86558515E-03
-9.68000E-06,+10.85427144170E+00,+1.24057775736E+00,+264.15076479E-03,+47.84548469E-03
-9.67000E-06,+10.85427144170E+00,+34.54759717E-03,+217.51759946E-03,+136.28769480E-03
-9.66000E-06,+11.05527646840E+00,-1.57349261642E+00,+251.28644332E-03,+184.52890031E-03
-9.65000E-06,+11.05527646840E+00,-1.57349261642E+00,+260.93468443E-03,+172.46859893E-03
-9.64000E-06,+10.85427144170E+00,-1.57349261642E+00,+233.59800130E-03,+172.46859893E-03
-9.63000E-06,+10.85427144170E+00,-1.97550266981E+00,+256.11056387E-03,+152.36809663E-03
-9.62000E-06,+11.05527646839E+00,-2.37751272321E+00,+251.28644332E-03,+116.18719250E-03
-9.61000E-06,+10.85427144170E+00,-1.17148256302E+00,+222.34172001E-03,+84.02638882E-03
-9.60000E-06,+10.85427144170E+00,-367.46245623E-03,+236.81408167E-03,+67.94598699E-03
-9.59000E-06,+10.85427144170E+00,-769.47250962E-03,+236.81408167E-03,+92.06658974E-03
-9.58000E-06,+10.85427144170E+00,-367.46245623E-03,+225.55780038E-03,+128.24749388E-03
-9.57000E-06,+10.85427144170E+00,-367.46245623E-03,+236.81408167E-03,+164.42839801E-03
-9.56000E-06,+11.05527646840E+00,-367.46245623E-03,+241.63820222E-03,+196.58920169E-03
-9.55000E-06,+10.85427144170E+00,-769.47250962E-03,+238.42212185E-03,+220.70980445E-03
-9.54000E-06,+10.85427144170E+00,-1.57349261642E+00,+248.07036296E-03,+220.70980445E-03
-9.53000E-06,+10.85427144170E+00,-1.17148256302E+00,+249.67840314E-03,+204.62940261E-03
-9.52000E-06,+10.85427144170E+00,-1.57349261642E+00,+243.24624240E-03,+168.44849847E-03
-9.51000E-06,+10.85427144170E+00,-1.57349261642E+00,+243.24624240E-03,+128.24749388E-03
-9.50000E-06,+10.85427144170E+00,-1.17148256302E+00,+240.03016204E-03,+100.10679066E-03
-9.49000E-06,+11.05527646840E+00,-1.17148256301E+00,+238.42212185E-03,+88.04648928E-03
-9.48000E-06,+10.85427144170E+00,-769.47250962E-03,+235.20604149E-03,+96.08669020E-03
-9.47000E-06,+10.85427144170E+00,-769.47250962E-03,+233.59800130E-03,+124.22739342E-03
-9.46000E-06,+10.85427144170E+00,-769.47250962E-03,+236.81408167E-03,+164.42839801E-03
-9.45000E-06,+10.85427144170E+00,-769.47250962E-03,+240.03016204E-03,+204.62940261E-03
-9.44000E-06,+10.85427144170E+00,-769.47250962E-03,+243.24624240E-03,+236.79020628E-03
-9.43000E-06,+11.05527646839E+00,-769.47250962E-03,+244.85428259E-03,+244.83040720E-03
-9.42000E-06,+11.05527646839E+00,-1.17148256302E+00,+249.67840314E-03,+248.85050766E-03
-9.41000E-06,+10.85427144170E+00,-1.57349261641E+00,+252.89448351E-03,+220.70980445E-03
-9.40000E-06,+10.85427144170E+00,-1.57349261642E+00,+248.07036296E-03,+192.56910123E-03
-9.39000E-06,+10.85427144170E+00,-1.17148256302E+00,+243.24624240E-03,+144.32789572E-03
-9.38000E-06,+10.85427144170E+00,-769.47250962E-03,+240.03016204E-03,+144.32789572E-03
-9.37000E-06,+10.85427144170E+00,-769.47250962E-03,+238.42212185E-03,+136.28769480E-03
-9.36000E-06,+10.85427144170E+00,-769.47250962E-03,+244.85428259E-03,+152.36809663E-03
-9.35000E-06,+10.85427144170E+00,-367.46245623E-03,+238.42212185E-03,+160.40829755E-03
-9.34000E-06,+10.85427144170E+00,-769.47250962E-03,+243.24624240E-03,+204.62940261E-03
-9.33000E-06,+10.85427144170E+00,-367.46245623E-03,+252.89448351E-03,+224.72990490E-03
-9.32000E-06,+10.85427144170E+00,-769.47250962E-03,+246.46232277E-03,+232.77010582E-03
-9.31000E-06,+11.05527646840E+00,-769.47250962E-03,+252.89448351E-03,+240.81030674E-03
-9.30000E-06,+11.05527646839E+00,-769.47250962E-03,+254.50252369E-03,+228.75000536E-03
-9.29000E-06,+11.05527646839E+00,-1.17148256302E+00,+251.28644332E-03,+212.66960353E-03
-9.28000E-06,+11.05527646840E+00,-769.47250962E-03,+251.28644332E-03,+188.54900077E-03
-9.27000E-06,+10.85427144170E+00,-1.17148256302E+00,+252.89448351E-03,+176.48869939E-03
-9.26000E-06,+10.85427144170E+00,-769.47250963E-03,+248.07036296E-03,+172.46859893E-03
-9.25000E-06,+10.85427144170E+00,-769.47250962E-03,+248.07036296E-03,+172.46859893E-03
-9.24000E-06,+11.05527646840E+00,-769.47250962E-03,+249.67840314E-03,+184.52890031E-03
-9.23000E-06,+11.05527646840E+00,-367.46245623E-03,+248.07036296E-03,+204.62940261E-03
-9.22000E-06,+10.85427144170E+00,-367.46245623E-03,+251.28644332E-03,+224.72990490E-03
-9.21000E-06,+10.85427144170E+00,-367.46245623E-03,+254.50252369E-03,+232.77010582E-03
-9.20000E-06,+10.85427144170E+00,-769.47250962E-03,+252.89448351E-03,+244.83040720E-03
-9.19000E-06,+10.85427144170E+00,-769.47250962E-03,+256.11056387E-03,+244.83040720E-03
-9.18000E-06,+11.05527646840E+00,-1.17148256302E+00,+257.71860406E-03,+228.75000536E-03
-9.17000E-06,+11.05527646840E+00,-769.47250962E-03,+254.50252369E-03,+220.70980445E-03
-9.16000E-06,+10.85427144170E+00,-1.17148256302E+00,+256.11056387E-03,+212.66960353E-03
