x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.00000E-06,-201.00502670E-03,+4.62311561406E+00,+329.64823768E-03,-4.02010046E-03
-19.98000E-06,+11.05527646840E+00,+4.62311561406E+00,+313.56783584E-03,+8.04020092E-03
-19.96000E-06,+11.85929657519E+00,+4.62311561406E+00,+361.80904135E-03,-16.08040184E-03
-19.94000E-06,+12.26130662858E+00,+4.62311561406E+00,+313.56783584E-03,+12.06030138E-03
-19.92000E-06,+12.26130662858E+00,+4.62311561406E+00,+329.64823768E-03,-16.08040184E-03
-19.90000E-06,+12.26130662858E+00,+4.62311561406E+00,+329.64823768E-03,+8.04020092E-03
-19.88000E-06,+12.06030160189E+00,+4.62311561406E+00,+329.64823768E-03,-16.08040184E-03
-19.86000E-06,+12.26130662858E+00,+4.62311561406E+00,+329.64823768E-03,+4.02010046E-03
-19.84000E-06,+11.85929657519E+00,+4.62311561406E+00,+321.60803676E-03,-12.06030138E-03
-19.82000E-06,+11.85929657519E+00,+4.42211058736E+00,+329.64823768E-03,-8.04020092E-03
-19.80000E-06,+11.45728652179E+00,+4.62311561406E+00,+321.60803676E-03,-8.04020092E-03
-19.78000E-06,+11.45728652179E+00,+4.62311561406E+00,+321.60803676E-03,-4.02010046E-03
-19.76000E-06,+11.05527646840E+00,+4.62311561406E+00,+321.60803676E-03,-4.02010046E-03
-19.74000E-06,+10.85427144170E+00,+4.62311561406E+00,+321.60803676E-03,-4.02010046E-03
-19.72000E-06,+11.05527646840E+00,+4.22110556066E+00,+345.72863951E-03,-64.32160735E-03
-19.70000E-06,+10.85427144170E+00,+4.02010053396E+00,+297.48743400E-03,-36.18090414E-03
-19.68000E-06,+10.85427144170E+00,+4.02010053396E+00,+305.52763492E-03,+32.16080368E-03
-19.66000E-06,+10.85427144170E+00,+3.81909550726E+00,+305.52763492E-03,+8.04020092E-03
-19.64000E-06,+10.85427144170E+00,+4.02010053396E+00,+265.32663032E-03,+0.0E+00
-19.62000E-06,+10.85427144170E+00,+3.81909550726E+00,+249.24622849E-03,+20.10050230E-03
-19.60000E-06,+10.85427144170E+00,+4.02010053396E+00,+225.12562573E-03,+56.28140643E-03
-19.58000E-06,+10.65326641500E+00,+3.81909550726E+00,+201.00502297E-03,+48.24120551E-03
-19.56000E-06,+11.05527646840E+00,+3.61809048057E+00,+168.84421930E-03,+56.28140643E-03
-19.54000E-06,+11.05527646839E+00,+3.61809048057E+00,+144.72361654E-03,+80.40200919E-03
-19.52000E-06,+10.85427144170E+00,+402.01005340E-03,+120.60301378E-03,+96.48241103E-03
-19.50000E-06,+10.85427144170E+00,-11.25628149509E+00,+96.48241103E-03,+136.68341562E-03
-19.48000E-06,+10.85427144170E+00,-20.50251272321E+00,+96.48241103E-03,+92.46231057E-03
-19.46000E-06,+10.85427144170E+00,-13.86934684218E+00,+88.44221011E-03,+124.62311424E-03
-19.44000E-06,+10.85427144170E+00,-2.41206032038E+00,+88.44221011E-03,+88.44221011E-03
-19.42000E-06,+10.85427144170E+00,+2.41206032038E+00,+72.36180827E-03,+124.62311424E-03
-19.40000E-06,+10.85427144170E+00,+1.60804021358E+00,+56.28140643E-03,+116.58291332E-03
-19.38000E-06,+10.85427144170E+00,-5.22613069415E+00,+56.28140643E-03,+128.64321470E-03
-19.36000E-06,+10.85427144170E+00,-14.07035186887E+00,+56.28140643E-03,+124.62311424E-03
-19.34000E-06,+10.85427144170E+00,-14.27135689557E+00,+56.28140643E-03,+120.60301378E-03
-19.32000E-06,+10.85427144170E+00,-7.03517593444E+00,+56.28140643E-03,+120.60301378E-03
-19.30000E-06,+10.85427144170E+00,-1.20603016019E+00,+48.24120551E-03,+132.66331516E-03
-19.28000E-06,+11.05527646840E+00,-402.01005339E-03,+40.20100459E-03,+136.68341562E-03
-19.26000E-06,+10.85427144170E+00,-4.62311561406E+00,+32.16080368E-03,+140.70351608E-03
-19.24000E-06,+10.85427144170E+00,-10.45226138830E+00,+32.16080368E-03,+136.68341562E-03
-19.22000E-06,+11.05527646839E+00,-12.46231165528E+00,+40.20100459E-03,+136.68341562E-03
-19.20000E-06,+10.85427144170E+00,-8.44221112132E+00,+48.24120551E-03,+128.64321470E-03
-19.18000E-06,+10.85427144170E+00,-3.61809048057E+00,+40.20100459E-03,+140.70351608E-03
-19.16000E-06,+10.85427144170E+00,-2.41206032038E+00,+32.16080368E-03,+148.74371700E-03
-19.14000E-06,+10.85427144170E+00,-4.62311561406E+00,+32.16080368E-03,+148.74371700E-03
-19.12000E-06,+10.85427144170E+00,-8.64321614802E+00,+24.12060276E-03,+144.72361654E-03
-19.10000E-06,+10.85427144170E+00,-10.85427144170E+00,+32.16080368E-03,+148.74371700E-03
-19.08000E-06,+10.85427144170E+00,-8.84422117472E+00,+32.16080368E-03,+140.70351608E-03
-19.06000E-06,+11.05527646840E+00,-5.42713572085E+00,+24.12060276E-03,+144.72361654E-03
-19.04000E-06,+10.85427144170E+00,-3.81909550726E+00,+16.08040184E-03,+144.72361654E-03
-19.02000E-06,+10.85427144170E+00,-5.22613069415E+00,+16.08040184E-03,+152.76381746E-03
-19.00000E-06,+10.85427144170E+00,-7.83919604123E+00,+16.08040184E-03,+156.78391792E-03
-18.98000E-06,+11.05527646840E+00,-9.64824128151E+00,+16.08040184E-03,+152.76381746E-03
-18.96000E-06,+10.85427144170E+00,-8.64321614802E+00,+24.12060276E-03,+152.76381746E-03
-18.94000E-06,+10.85427144170E+00,-6.43216085434E+00,+24.12060276E-03,+156.78391792E-03
-18.92000E-06,+10.85427144170E+00,-5.02512566745E+00,+16.08040184E-03,+156.78391792E-03
-18.90000E-06,+10.85427144170E+00,-5.42713572085E+00,+16.08040184E-03,+156.78391792E-03
-18.88000E-06,+11.05527646840E+00,-7.43718598783E+00,+8.04020092E-03,+160.80401838E-03
-18.86000E-06,+11.05527646839E+00,-8.64321614802E+00,+16.08040184E-03,+160.80401838E-03
-18.84000E-06,+10.85427144170E+00,-8.44221112132E+00,+24.12060276E-03,+156.78391792E-03
-18.82000E-06,+10.85427144170E+00,-7.03517593443E+00,+16.08040184E-03,+160.80401838E-03
-18.80000E-06,+10.85427144170E+00,-5.82914577425E+00,+8.04020092E-03,+160.80401838E-03
-18.78000E-06,+10.85427144170E+00,-6.03015080094E+00,+8.04020092E-03,+164.82411884E-03
-18.76000E-06,+11.05527646839E+00,-7.23618096113E+00,+8.04020092E-03,+164.82411884E-03
-18.74000E-06,+11.05527646840E+00,-8.24120609462E+00,+8.04020092E-03,+164.82411884E-03
-18.72000E-06,+10.85427144170E+00,-8.24120609462E+00,+8.04020092E-03,+164.82411884E-03
-18.70000E-06,+11.05527646840E+00,-7.23618096113E+00,+16.08040184E-03,+164.82411884E-03
-18.68000E-06,+10.85427144170E+00,-6.43216085434E+00,+8.04020092E-03,+164.82411884E-03
-18.66000E-06,+10.85427144170E+00,-6.43216085434E+00,+16.08040184E-03,+168.84421930E-03
-18.64000E-06,+11.05527646840E+00,-7.03517593444E+00,+8.04020092E-03,+168.84421930E-03
-18.62000E-06,+10.85427144170E+00,-7.83919604123E+00,+8.04020092E-03,+168.84421930E-03
-18.60000E-06,+10.85427144170E+00,-7.83919604123E+00,+8.04020092E-03,+168.84421930E-03
-18.58000E-06,+10.85427144170E+00,-7.43718598783E+00,+8.04020092E-03,+168.84421930E-03
-18.56000E-06,+10.85427144170E+00,-6.83417090774E+00,+8.04020092E-03,+168.84421930E-03
-18.54000E-06,+10.85427144170E+00,-6.83417090774E+00,+8.04020092E-03,+172.86431976E-03
-18.52000E-06,+10.85427144170E+00,-7.23618096113E+00,+16.08040184E-03,+172.86431976E-03
-18.50000E-06,+10.85427144170E+00,-7.83919604123E+00,+0.0E+00,+168.84421930E-03
-18.48000E-06,+10.85427144170E+00,-7.83919604123E+00,+8.04020092E-03,+172.86431976E-03
-18.46000E-06,+11.05527646840E+00,-7.43718598783E+00,+8.04020092E-03,+168.84421930E-03
-18.44000E-06,+10.85427144170E+00,-7.03517593443E+00,+0.0E+00,+176.88442022E-03
-18.42000E-06,+10.85427144170E+00,-7.03517593443E+00,+0.0E+00,+176.88442022E-03
-18.40000E-06,+10.85427144170E+00,-7.23618096113E+00,+0.0E+00,+172.86431976E-03
-18.38000E-06,+10.85427144170E+00,-7.63819101453E+00,+8.04020092E-03,+180.90452068E-03
-18.36000E-06,+10.65326641500E+00,-7.83919604122E+00,+0.0E+00,+176.88442022E-03
-18.34000E-06,+10.85427144170E+00,-7.63819101453E+00,+8.04020092E-03,+172.86431976E-03
-18.32000E-06,+10.85427144170E+00,-7.23618096114E+00,+0.0E+00,+172.86431976E-03
-18.30000E-06,+10.85427144170E+00,-7.03517593443E+00,+0.0E+00,+172.86431976E-03
-18.28000E-06,+10.85427144170E+00,-7.43718598783E+00,-0.0E+00,+180.90452068E-03
-18.26000E-06,+11.05527646840E+00,-7.63819101452E+00,+0.0E+00,+180.90452068E-03
