x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-10.00000E-06,+3.41708545387E+00,+19.73304021358E+00,+351.99747421E-03,-22.34169189E-03
-9.99000E-06,+10.85427144170E+00,+19.73304021358E+00,+311.79646961E-03,+9.01509169E-03
-9.98000E-06,+12.26130662858E+00,+19.33103016019E+00,+354.00752444E-03,-22.34169189E-03
-9.97000E-06,+12.06030160189E+00,+19.33103016019E+00,+422.34923225E-03,-22.34169189E-03
-9.96000E-06,+12.26130662858E+00,+19.73304021358E+00,+390.18842857E-03,+9.01509169E-03
-9.95000E-06,+12.06030160189E+00,+19.73304021358E+00,+345.96732352E-03,-1.43716950E-03
-9.94000E-06,+12.06030160189E+00,+19.73304021358E+00,+343.95727329E-03,-22.34169189E-03
-9.93000E-06,+12.06030160189E+00,+19.73304021358E+00,+362.04772536E-03,-11.88943069E-03
-9.92000E-06,+12.26130662858E+00,+19.73304021358E+00,+358.02762490E-03,+9.01509169E-03
-9.91000E-06,+12.26130662858E+00,+19.73304021358E+00,+356.01757467E-03,-1.43716950E-03
-9.90000E-06,+12.26130662858E+00,+19.33103016019E+00,+351.99747421E-03,-17.11556129E-03
-9.89000E-06,+12.26130662858E+00,+19.73304021358E+00,+354.00752444E-03,-1.43716950E-03
-9.88000E-06,+12.26130662858E+00,+19.73304021358E+00,+358.02762490E-03,+3.78896110E-03
-9.87000E-06,+12.06030160189E+00,+19.73304021358E+00,+358.02762490E-03,+3.78896110E-03
-9.86000E-06,+12.06030160189E+00,+19.73304021359E+00,+354.00752444E-03,-6.66330010E-03
-9.85000E-06,+12.06030160189E+00,+19.73304021358E+00,+351.99747421E-03,-1.43716950E-03
-9.84000E-06,+11.85929657519E+00,+19.73304021358E+00,+356.01757467E-03,-6.66330010E-03
-9.83000E-06,+12.06030160189E+00,+19.73304021358E+00,+356.01757467E-03,+3.78896110E-03
-9.82000E-06,+11.85929657519E+00,+19.73304021358E+00,+354.00752444E-03,-1.43716950E-03
-9.81000E-06,+11.65829154849E+00,+19.73304021358E+00,+356.01757467E-03,-6.66330010E-03
-9.80000E-06,+11.65829154849E+00,+19.73304021358E+00,+356.01757467E-03,-6.66330010E-03
-9.79000E-06,+11.45728652179E+00,+19.73304021358E+00,+351.99747421E-03,-1.43716950E-03
-9.78000E-06,+11.25628149509E+00,+19.73304021358E+00,+351.99747421E-03,+3.78896110E-03
-9.77000E-06,+11.25628149509E+00,+19.73304021358E+00,+351.99747421E-03,-1.43716950E-03
-9.76000E-06,+11.05527646840E+00,+20.53706032038E+00,+368.07787605E-03,+45.59800588E-03
-9.75000E-06,+11.05527646840E+00,+19.73304021358E+00,+372.09797651E-03,-53.69847547E-03
-9.74000E-06,+10.85427144170E+00,+19.33103016019E+00,+358.02762490E-03,-32.79395308E-03
-9.73000E-06,+11.05527646840E+00,+12.09484919906E+00,+279.63566594E-03,+66.50252827E-03
-9.72000E-06,+10.85427144170E+00,+6.86871850491E+00,+307.77636915E-03,+29.91961408E-03
-9.71000E-06,+10.85427144170E+00,+4.85866823792E+00,+392.19847880E-03,-64.15073667E-03
-9.70000E-06,+10.85427144170E+00,+2.84861797095E+00,+356.01757467E-03,-1.43716950E-03
-9.69000E-06,+10.85427144170E+00,+2.44660791755E+00,+307.77636915E-03,+66.50252827E-03
-9.68000E-06,+10.85427144170E+00,+838.56770397E-03,+341.94722306E-03,+66.50252827E-03
-9.67000E-06,+10.85427144170E+00,+436.55765057E-03,+364.05777559E-03,+76.95478946E-03
-9.66000E-06,+10.85427144170E+00,-367.46245623E-03,+351.99747421E-03,+165.79900961E-03
-9.65000E-06,+10.85427144170E+00,-1.17148256302E+00,+349.98742398E-03,+228.51257678E-03
-9.64000E-06,+10.85427144170E+00,-1.97550266981E+00,+362.04772536E-03,+223.28644618E-03
-9.63000E-06,+10.85427144170E+00,-1.57349261642E+00,+358.02762490E-03,+218.06031559E-03
-9.62000E-06,+11.05527646840E+00,-1.97550266981E+00,+360.03767513E-03,+223.28644618E-03
-9.61000E-06,+10.85427144170E+00,-1.97550266981E+00,+358.02762490E-03,+191.92966260E-03
-9.60000E-06,+10.85427144170E+00,-1.17148256302E+00,+345.96732352E-03,+150.12061782E-03
-9.59000E-06,+10.65326641500E+00,-367.46245623E-03,+337.92712260E-03,+134.44222603E-03
-9.58000E-06,+11.05527646840E+00,-367.46245623E-03,+343.95727329E-03,+155.34674842E-03
-9.57000E-06,+10.85427144170E+00,-769.47250962E-03,+343.95727329E-03,+197.15579320E-03
-9.56000E-06,+10.85427144170E+00,-367.46245623E-03,+337.92712260E-03,+233.73870738E-03
-9.55000E-06,+10.85427144170E+00,-367.46245623E-03,+347.97737375E-03,+270.32162156E-03
-9.54000E-06,+10.85427144170E+00,-367.46245623E-03,+354.00752444E-03,+280.77388275E-03
-9.53000E-06,+10.85427144170E+00,-769.47250962E-03,+360.03767513E-03,+327.80905813E-03
-9.52000E-06,+10.65326641500E+00,-1.17148256302E+00,+351.99747421E-03,+286.00001335E-03
-9.51000E-06,+10.65326641500E+00,-1.57349261642E+00,+364.05777559E-03,+238.96483798E-03
-9.50000E-06,+10.85427144170E+00,-1.17148256302E+00,+354.00752444E-03,+207.60805439E-03
-9.49000E-06,+10.85427144170E+00,-1.57349261642E+00,+349.98742398E-03,+197.15579320E-03
-9.48000E-06,+10.85427144170E+00,-1.17148256302E+00,+349.98742398E-03,+160.57287902E-03
-9.47000E-06,+10.85427144170E+00,-769.47250963E-03,+345.96732352E-03,+160.57287902E-03
-9.46000E-06,+10.85427144170E+00,-367.46245623E-03,+339.93717283E-03,+212.83418499E-03
-9.45000E-06,+10.85427144170E+00,-367.46245623E-03,+347.97737375E-03,+254.64322977E-03
