x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-06,+11.65829154849E+00,+20.07361724973E+00,+66.23367034E-03,-53.61181591E-03
-24.97500E-06,+12.26130662858E+00,+19.71984839439E+00,+58.99748951E-03,-43.56156476E-03
-24.95000E-06,+12.26130662858E+00,+19.89673282206E+00,+82.51507720E-03,-68.68719263E-03
-24.92500E-06,+12.06030160189E+00,+19.98517503590E+00,+103.31909708E-03,-83.76256935E-03
-24.90000E-06,+12.26130662858E+00,+20.07361724973E+00,+102.41457447E-03,-73.71231820E-03
-24.87500E-06,+12.11055285856E+00,+19.80829060823E+00,+89.75125803E-03,-66.17462984E-03
-24.85000E-06,+11.95979908854E+00,+19.71984839439E+00,+91.56030323E-03,-63.66206706E-03
-24.82500E-06,+11.65829154849E+00,+19.71984839439E+00,+94.27387104E-03,-63.66206706E-03
-24.80000E-06,+11.45728652179E+00,+19.36607953906E+00,+95.17839365E-03,-63.66206706E-03
-24.77500E-06,+11.05527646840E+00,+20.42738610506E+00,+100.60552927E-03,-23.46106246E-03
-24.75000E-06,+10.95477395505E+00,+19.01231068372E+00,+136.78643340E-03,-118.93844837E-03
-24.72500E-06,+11.00502521172E+00,+5.21532532573E+00,+125.93216216E-03,-146.57663903E-03
-24.70000E-06,+10.85427144170E+00,+616.33020639E-03,+91.56030323E-03,+16.73994213E-03
-24.67500E-06,+11.05527646840E+00,-1.50628292561E+00,+63.52010253E-03,+56.94094673E-03
-24.65000E-06,+10.85427144170E+00,-1.15251407027E+00,+78.89698679E-03,-43.56156476E-03
-24.62500E-06,+10.85427144170E+00,-798.74521494E-03,+92.46482584E-03,-83.76256935E-03
-24.60000E-06,+10.85427144170E+00,-444.97635961E-03,+91.56030323E-03,-3.36056016E-03
-24.57500E-06,+10.70351767168E+00,-1.15251407027E+00,+91.56030323E-03,+46.89069558E-03
-24.55000E-06,+10.85427144170E+00,-1.15251407027E+00,+91.56030323E-03,-13.41081131E-03
-24.52500E-06,+10.90452269837E+00,-798.74521494E-03,+87.94221282E-03,-83.76256935E-03
-24.50000E-06,+10.85427144170E+00,-444.97635961E-03,+87.94221282E-03,-43.56156476E-03
-24.47500E-06,+11.00502521172E+00,-444.97635961E-03,+90.65578063E-03,+36.84044443E-03
-24.45000E-06,+10.75376892835E+00,-1.15251407027E+00,+96.98743885E-03,+36.84044443E-03
-24.42500E-06,+10.85427144170E+00,-1.15251407027E+00,+92.46482584E-03,-33.51131361E-03
-24.40000E-06,+10.85427144170E+00,-798.74521494E-03,+87.94221282E-03,-53.61181591E-03
-24.37500E-06,+11.00502521172E+00,-798.74521494E-03,+87.94221282E-03,-847.99738E-06
-24.35000E-06,+10.85427144170E+00,-621.86078727E-03,+95.17839365E-03,+56.94094673E-03
-24.32500E-06,+10.85427144170E+00,-798.74521494E-03,+104.22361968E-03,+9.20225377E-03
-24.30000E-06,+11.05527646839E+00,-444.97635961E-03,+98.79648406E-03,-13.41081131E-03
-24.27500E-06,+10.85427144170E+00,-533.41857345E-03,+98.79648406E-03,-3.36056016E-03
-24.25000E-06,+10.85427144170E+00,-798.74521494E-03,+98.79648406E-03,+26.79019328E-03
-24.22500E-06,+10.90452269837E+00,-798.74521494E-03,+102.41457447E-03,+36.84044443E-03
-24.20000E-06,+10.85427144170E+00,-1.15251407026E+00,+109.65075530E-03,+16.73994213E-03
-24.17500E-06,+10.85427144170E+00,-798.74521494E-03,+105.12814228E-03,-3.36056016E-03
-24.15000E-06,+10.85427144170E+00,-621.86078728E-03,+102.41457447E-03,+11.71481656E-03
-24.12500E-06,+10.85427144170E+00,-444.97635961E-03,+105.12814228E-03,+36.84044443E-03
-24.10000E-06,+10.85427144170E+00,-798.74521494E-03,+106.03266489E-03,+36.84044443E-03
-24.07500E-06,+10.85427144170E+00,-798.74521494E-03,+109.65075530E-03,+26.79019328E-03
-24.05000E-06,+10.85427144170E+00,-621.86078726E-03,+107.84171009E-03,+26.79019328E-03
-24.02500E-06,+10.85427144170E+00,-710.30300112E-03,+106.93718749E-03,+36.84044443E-03
-24.00000E-06,+10.85427144170E+00,-444.97635961E-03,+109.65075530E-03,+46.89069558E-03
-23.97500E-06,+11.05527646840E+00,-798.74521494E-03,+113.26884571E-03,+39.35300722E-03
-23.95000E-06,+10.95477395504E+00,-798.74521494E-03,+113.26884571E-03,+36.84044443E-03
-23.92500E-06,+11.05527646840E+00,-798.74521494E-03,+112.36432311E-03,+36.84044443E-03
-23.90000E-06,+10.85427144170E+00,-798.74521494E-03,+116.88693613E-03,+46.89069558E-03
-23.87500E-06,+10.85427144170E+00,-533.41857345E-03,+116.88693613E-03,+56.94094673E-03
-23.85000E-06,+10.85427144170E+00,-444.97635961E-03,+120.50502654E-03,+51.91582115E-03
-23.82500E-06,+10.90452269837E+00,-798.74521494E-03,+120.50502654E-03,+46.89069558E-03
-23.80000E-06,+10.85427144170E+00,-444.97635962E-03,+124.12311696E-03,+56.94094673E-03
-23.77500E-06,+10.85427144170E+00,-444.97635961E-03,+125.02763956E-03,+66.99119788E-03
-23.75000E-06,+10.85427144170E+00,-798.74521494E-03,+124.12311696E-03,+66.99119788E-03
-23.72500E-06,+10.90452269836E+00,-444.97635961E-03,+125.02763956E-03,+74.52888624E-03
-23.70000E-06,+11.05527646840E+00,-444.97635961E-03,+124.12311696E-03,+66.99119788E-03
-23.67500E-06,+11.05527646840E+00,-533.41857345E-03,+124.12311696E-03,+69.50376066E-03
-23.65000E-06,+10.85427144170E+00,-798.74521494E-03,+127.74120737E-03,+77.04144903E-03
-23.62500E-06,+10.85427144170E+00,-533.41857342E-03,+127.74120737E-03,+79.55401181E-03
-23.60000E-06,+10.85427144170E+00,-798.74521494E-03,+127.74120737E-03,+87.09170017E-03
-23.57500E-06,+11.00502521171E+00,-798.74521494E-03,+131.35929778E-03,+77.04144903E-03
-23.55000E-06,+10.85427144170E+00,-798.74521494E-03,+131.35929778E-03,+87.09170017E-03
-23.52500E-06,+10.85427144170E+00,-533.41857342E-03,+131.35929778E-03,+87.09170017E-03
-23.50000E-06,+10.85427144170E+00,-444.97635962E-03,+131.35929778E-03,+97.14195132E-03
-23.47500E-06,+10.85427144170E+00,-444.97635961E-03,+134.97738820E-03,+97.14195132E-03
-23.45000E-06,+10.85427144170E+00,-621.86078729E-03,+134.97738820E-03,+102.16707690E-03
-23.42500E-06,+10.85427144170E+00,-798.74521494E-03,+138.59547861E-03,+97.14195132E-03
-23.40000E-06,+10.85427144170E+00,-798.74521492E-03,+138.59547861E-03,+97.14195132E-03
-23.37500E-06,+10.90452269838E+00,-710.30300109E-03,+142.21356902E-03,+114.72989083E-03
-23.35000E-06,+10.85427144170E+00,-798.74521494E-03,+140.40452382E-03,+107.19220247E-03
-23.32500E-06,+10.85427144170E+00,-798.74521494E-03,+141.30904642E-03,+114.72989083E-03
-23.30000E-06,+11.05527646839E+00,-444.97635962E-03,+142.21356902E-03,+117.24245362E-03
-23.27500E-06,+10.85427144170E+00,-710.30300109E-03,+142.21356902E-03,+124.78014198E-03
-23.25000E-06,+10.85427144170E+00,-798.74521494E-03,+145.83165944E-03,+122.26757919E-03
-23.22500E-06,+11.00502521173E+00,-444.97635961E-03,+149.44974985E-03,+124.78014198E-03
-23.20000E-06,+10.85427144170E+00,-444.97635961E-03,+145.83165944E-03,+137.34295592E-03
-23.17500E-06,+10.85427144170E+00,-798.74521494E-03,+145.83165944E-03,+127.29270477E-03
-23.15000E-06,+10.85427144170E+00,-798.74521494E-03,+153.06784026E-03,+137.34295592E-03
