x-axis,1,2,3
second,Volt,Volt,Volt
-25.00000E-06,+17.88944737613E+00,+0.0E+00,+1.13517587259E+00
-24.97500E-06,+17.68844234943E+00,+1.30653267354E+00,+1.12713567168E+00
-24.95000E-06,+17.78894486278E+00,+12.06030160189E+00,+1.11507537030E+00
-24.92500E-06,+17.88944737613E+00,+11.65829154849E+00,+1.11708542053E+00
-24.90000E-06,+17.88944737613E+00,+11.65829154849E+00,+1.13517587259E+00
-24.87500E-06,+17.68844234943E+00,+11.95979908854E+00,+1.15125627443E+00
-24.85000E-06,+17.88944737613E+00,+11.85929657519E+00,+1.14321607351E+00
-24.82500E-06,+17.88944737613E+00,+11.95979908854E+00,+1.14321607351E+00
-24.80000E-06,+17.88944737613E+00,+11.65829154849E+00,+1.14321607351E+00
-24.77500E-06,+17.88944737613E+00,+11.25628149509E+00,+1.14321607351E+00
-24.75000E-06,+17.88944737613E+00,+11.05527646840E+00,+1.14321607351E+00
-24.72500E-06,+17.88944737613E+00,+10.55276390165E+00,+1.11105526984E+00
-24.70000E-06,+17.48743732274E+00,+10.85427144170E+00,+1.15929647535E+00
-24.67500E-06,+18.09045240283E+00,+10.85427144170E+00,+1.06281406432E+00
-24.65000E-06,+15.27638202906E+00,+10.45226138830E+00,+1.15527637489E+00
-24.62500E-06,+16.93467349931E+00,+10.45226138830E+00,+1.13517587259E+00
-24.60000E-06,+18.89447250962E+00,+10.45226138831E+00,+1.08693466708E+00
-24.57500E-06,+18.69346748292E+00,+10.45226138830E+00,+1.11909547076E+00
-24.55000E-06,+17.58793983609E+00,+10.45226138830E+00,+1.14321607351E+00
-24.52500E-06,+17.03517601267E+00,+10.45226138830E+00,+1.14321607351E+00
-24.50000E-06,+17.28643229604E+00,+10.45226138830E+00,+1.15125627443E+00
-24.47500E-06,+18.04020114615E+00,+10.45226138830E+00,+1.14522612374E+00
-24.45000E-06,+18.09045240283E+00,+10.45226138830E+00,+1.13517587259E+00
-24.42500E-06,+18.04020114616E+00,+10.45226138830E+00,+1.14321607351E+00
-24.40000E-06,+17.68844234943E+00,+10.45226138830E+00,+1.14321607351E+00
-24.37500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.14522612374E+00
-24.35000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.14723617397E+00
-24.32500E-06,+17.88944737613E+00,+10.55276390164E+00,+1.14924622420E+00
-24.30000E-06,+18.09045240283E+00,+10.85427144169E+00,+1.14321607351E+00
-24.27500E-06,+17.88944737613E+00,+10.85427144170E+00,+1.13517587259E+00
-24.25000E-06,+17.78894486279E+00,+10.85427144170E+00,+1.14321607351E+00
-24.22500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.13517587259E+00
-24.20000E-06,+17.68844234944E+00,+10.45226138830E+00,+1.13517587259E+00
-24.17500E-06,+17.68844234943E+00,+10.85427144170E+00,+1.14321607351E+00
-24.15000E-06,+17.78894486278E+00,+10.85427144170E+00,+1.13517587259E+00
-24.12500E-06,+17.88944737613E+00,+10.75376892836E+00,+1.13517587259E+00
-24.10000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.13517587259E+00
-24.07500E-06,+17.73869360611E+00,+10.45226138830E+00,+1.12713567168E+00
-24.05000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.13517587259E+00
-24.02500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.12713567168E+00
-24.00000E-06,+17.68844234943E+00,+10.45226138830E+00,+1.13517587259E+00
-23.97500E-06,+17.83919611945E+00,+10.45226138830E+00,+1.12914572191E+00
-23.95000E-06,+17.78894486279E+00,+10.45226138830E+00,+1.12713567168E+00
-23.92500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.12713567168E+00
-23.90000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.12713567168E+00
-23.87500E-06,+17.88944737613E+00,+10.85427144170E+00,+1.12713567168E+00
-23.85000E-06,+17.78894486279E+00,+10.45226138830E+00,+1.12713567168E+00
-23.82500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.12713567168E+00
-23.80000E-06,+17.88944737613E+00,+10.85427144168E+00,+1.11909547076E+00
-23.77500E-06,+17.83919611945E+00,+10.85427144170E+00,+1.11909547076E+00
-23.75000E-06,+17.68844234943E+00,+10.65326641501E+00,+1.11909547076E+00
-23.72500E-06,+17.88944737613E+00,+10.85427144170E+00,+1.12110552099E+00
-23.70000E-06,+17.68844234943E+00,+10.85427144170E+00,+1.11909547076E+00
-23.67500E-06,+17.73869360612E+00,+10.45226138830E+00,+1.12110552099E+00
-23.65000E-06,+17.78894486277E+00,+10.65326641498E+00,+1.12713567168E+00
-23.62500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.11708542053E+00
-23.60000E-06,+17.88944737613E+00,+10.85427144168E+00,+1.11105526984E+00
-23.57500E-06,+17.88944737613E+00,+10.55276390167E+00,+1.11105526984E+00
-23.55000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.11105526984E+00
-23.52500E-06,+17.73869360610E+00,+10.45226138830E+00,+1.11105526984E+00
-23.50000E-06,+17.88944737613E+00,+10.85427144168E+00,+1.11105526984E+00
-23.47500E-06,+17.88944737613E+00,+10.75376892833E+00,+1.11105526984E+00
-23.45000E-06,+17.78894486279E+00,+10.85427144170E+00,+1.11105526984E+00
-23.42500E-06,+17.83919611947E+00,+10.45226138830E+00,+1.11105526984E+00
-23.40000E-06,+17.68844234944E+00,+10.45226138830E+00,+1.11105526984E+00
-23.37500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.10301506892E+00
-23.35000E-06,+17.88944737613E+00,+10.65326641502E+00,+1.10703516938E+00
-23.32500E-06,+17.73869360610E+00,+10.75376892837E+00,+1.10301506892E+00
-23.30000E-06,+17.68844234944E+00,+10.45226138830E+00,+1.10301506892E+00
-23.27500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.10301506892E+00
-23.25000E-06,+17.68844234943E+00,+10.65326641498E+00,+1.10301506892E+00
-23.22500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.09497486800E+00
-23.20000E-06,+17.88944737612E+00,+10.45226138832E+00,+1.10301506892E+00
-23.17500E-06,+17.88944737613E+00,+10.85427144170E+00,+1.09698491823E+00
-23.15000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.09497486800E+00
-23.12500E-06,+17.83919611947E+00,+10.55276390163E+00,+1.08894471731E+00
-23.10000E-06,+17.88944737612E+00,+10.45226138830E+00,+1.09497486800E+00
-23.07500E-06,+17.83919611945E+00,+10.55276390167E+00,+1.09497486800E+00
-23.05000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.08693466708E+00
-23.02500E-06,+17.83919611947E+00,+10.45226138830E+00,+1.08894471731E+00
-23.00000E-06,+17.68844234945E+00,+10.45226138830E+00,+1.08693466708E+00
-22.97500E-06,+17.83919611945E+00,+10.85427144170E+00,+1.08693466708E+00
-22.95000E-06,+17.68844234943E+00,+10.25125636163E+00,+1.08693466708E+00
-22.92500E-06,+17.83919611947E+00,+10.45226138830E+00,+1.09296481777E+00
-22.90000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.08693466708E+00
-22.87500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.08693466708E+00
-22.85000E-06,+17.68844234943E+00,+10.45226138830E+00,+1.08291456662E+00
-22.82500E-06,+17.88944737613E+00,+10.85427144170E+00,+1.08693466708E+00
-22.80000E-06,+17.88944737612E+00,+10.45226138833E+00,+1.08693466708E+00
-22.77500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.07889446616E+00
-22.75000E-06,+17.88944737613E+00,+10.85427144170E+00,+1.08291456662E+00
-22.72500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.07889446616E+00
-22.70000E-06,+17.88944737612E+00,+10.85427144170E+00,+1.07889446616E+00
-22.67500E-06,+17.88944737613E+00,+10.85427144170E+00,+1.07085426524E+00
-22.65000E-06,+17.88944737613E+00,+10.65326641503E+00,+1.07085426524E+00
-22.62500E-06,+17.88944737613E+00,+10.55276390162E+00,+1.07286431547E+00
-22.60000E-06,+17.88944737612E+00,+10.85427144167E+00,+1.07085426524E+00
-22.57500E-06,+17.73869360612E+00,+10.75376892832E+00,+1.07889446616E+00
-22.55000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.07085426524E+00
-22.52500E-06,+17.73869360609E+00,+10.75376892838E+00,+1.07085426524E+00
-22.50000E-06,+17.88944737613E+00,+10.45226138833E+00,+1.07085426524E+00
-22.47500E-06,+17.68844234943E+00,+10.75376892832E+00,+1.07085426524E+00
-22.45000E-06,+17.68844234943E+00,+10.85427144170E+00,+1.06281406432E+00
-22.42500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.07085426524E+00
-22.40000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.07085426524E+00
-22.37500E-06,+17.73869360612E+00,+10.45226138830E+00,+1.06281406432E+00
-22.35000E-06,+17.68844234943E+00,+10.65326641503E+00,+1.06683416478E+00
-22.32500E-06,+17.68844234943E+00,+10.55276390162E+00,+1.07688441593E+00
-22.30000E-06,+17.88944737612E+00,+10.45226138830E+00,+1.06281406432E+00
-22.27500E-06,+17.88944737613E+00,+10.85427144170E+00,+1.05678391364E+00
-22.25000E-06,+17.88944737613E+00,+10.45226138830E+00,+1.05477386340E+00
-22.22500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.05678391363E+00
-22.20000E-06,+17.88944737612E+00,+10.85427144166E+00,+1.05477386340E+00
-22.17500E-06,+17.83919611944E+00,+10.75376892831E+00,+1.05477386340E+00
-22.15000E-06,+17.88944737613E+00,+10.65326641504E+00,+1.05477386340E+00
-22.12500E-06,+17.88944737613E+00,+10.55276390162E+00,+1.04673366249E+00
-22.10000E-06,+17.68844234943E+00,+10.45226138830E+00,+1.05477386340E+00
-22.07500E-06,+17.68844234943E+00,+10.45226138830E+00,+1.05477386340E+00
-22.05000E-06,+17.78894486276E+00,+10.85427144170E+00,+1.05477386340E+00
-22.02500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.05477386340E+00
-22.00000E-06,+17.88944737611E+00,+10.45226138834E+00,+1.04673366249E+00
-21.97500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.04673366249E+00
-21.95000E-06,+17.88944737613E+00,+10.25125636157E+00,+1.04673366249E+00
-21.92500E-06,+17.88944737613E+00,+10.85427144170E+00,+1.04673366249E+00
-21.90000E-06,+17.68844234943E+00,+10.45226138830E+00,+1.04673366249E+00
-21.87500E-06,+17.73869360613E+00,+10.85427144170E+00,+1.04472361226E+00
-21.85000E-06,+17.78894486280E+00,+10.65326641496E+00,+1.04271356203E+00
-21.82500E-06,+17.88944737613E+00,+10.45226138830E+00,+1.03869346157E+00
-21.80000E-06,+17.68844234945E+00,+10.45226138830E+00,+1.04673366249E+00
-21.77500E-06,+17.83919611944E+00,+10.45226138830E+00,+1.03869346157E+00
