x-axis,1,2,3
second,Volt,Volt,Volt
-25.00000E-06,+11.65829154849E+00,+10.65326641500E+00,+643.21607351E-03
-24.97500E-06,+11.50753777847E+00,+10.80402018502E+00,+643.21607351E-03
-24.95000E-06,+11.45728652179E+00,+10.85427144170E+00,+633.16582236E-03
-24.92500E-06,+11.45728652179E+00,+10.85427144170E+00,+643.21607351E-03
-24.90000E-06,+11.65829154849E+00,+10.85427144170E+00,+643.21607351E-03
-24.87500E-06,+11.60804029182E+00,+10.85427144170E+00,+643.21607351E-03
-24.85000E-06,+11.45728652179E+00,+10.85427144170E+00,+663.31657581E-03
-24.82500E-06,+11.60804029182E+00,+10.80402018502E+00,+643.21607351E-03
-24.80000E-06,+11.45728652179E+00,+10.85427144170E+00,+643.21607351E-03
-24.77500E-06,+11.60804029181E+00,+402.01005340E-03,+643.21607351E-03
-24.75000E-06,+11.65829154849E+00,-100.50251335E-03,+643.21607351E-03
-24.72500E-06,+11.65829154849E+00,-150.75377003E-03,+643.21607351E-03
-24.70000E-06,+11.45728652179E+00,-201.00502670E-03,+643.21607351E-03
-24.67500E-06,+11.50753777847E+00,-201.00502670E-03,+628.14069679E-03
-24.65000E-06,+11.45728652179E+00,-201.00502670E-03,+643.21607351E-03
-24.62500E-06,+11.45728652179E+00,-201.00502670E-03,+663.31657581E-03
-24.60000E-06,+11.45728652179E+00,-201.00502670E-03,+663.31657581E-03
-24.57500E-06,+11.60804029181E+00,-201.00502670E-03,+663.31657581E-03
-24.55000E-06,+11.65829154849E+00,-201.00502670E-03,+663.31657581E-03
-24.52500E-06,+11.50753777846E+00,-201.00502670E-03,+678.39195253E-03
-24.50000E-06,+11.45728652179E+00,-201.00502670E-03,+663.31657581E-03
-24.47500E-06,+11.45728652179E+00,-351.75879672E-03,+668.34170138E-03
-24.45000E-06,+11.25628149509E+00,-201.00502670E-03,+663.31657581E-03
-24.42500E-06,+10.80402018503E+00,+0.0E+00,+648.24119909E-03
-24.40000E-06,+11.45728652180E+00,-201.00502670E-03,+683.41707811E-03
-24.37500E-06,+11.25628149509E+00,-201.00502670E-03,+663.31657581E-03
-24.35000E-06,+11.25628149509E+00,-201.00502670E-03,+673.36682696E-03
-24.32500E-06,+11.45728652179E+00,-201.00502670E-03,+683.41707811E-03
-24.30000E-06,+11.45728652179E+00,-201.00502670E-03,+683.41707811E-03
-24.27500E-06,+11.60804029181E+00,-201.00502670E-03,+668.34170139E-03
-24.25000E-06,+11.55778903514E+00,-100.50251334E-03,+663.31657581E-03
-24.22500E-06,+11.65829154849E+00,-201.00502670E-03,+663.31657581E-03
-24.20000E-06,+11.85929657518E+00,-201.00502669E-03,+663.31657581E-03
-24.17500E-06,+11.50753777847E+00,-201.00502670E-03,+663.31657581E-03
-24.15000E-06,+11.55778903515E+00,-301.50754005E-03,+663.31657581E-03
-24.12500E-06,+11.65829154849E+00,-201.00502670E-03,+663.31657581E-03
-24.10000E-06,+11.45728652179E+00,-201.00502670E-03,+663.31657581E-03
-24.07500E-06,+11.60804029181E+00,-201.00502670E-03,+663.31657581E-03
-24.05000E-06,+11.45728652179E+00,-201.00502670E-03,+653.26632466E-03
-24.02500E-06,+11.45728652179E+00,-201.00502670E-03,+663.31657581E-03
-24.00000E-06,+11.45728652180E+00,-201.00502670E-03,+663.31657581E-03
-23.97500E-06,+11.50753777847E+00,-201.00502670E-03,+668.34170139E-03
-23.95000E-06,+11.65829154849E+00,-100.50251334E-03,+643.21607351E-03
-23.92500E-06,+11.65829154849E+00,-201.00502670E-03,+648.24119909E-03
-23.90000E-06,+11.45728652179E+00,-201.00502670E-03,+643.21607351E-03
-23.87500E-06,+11.45728652179E+00,-201.00502670E-03,+663.31657581E-03
-23.85000E-06,+11.45728652179E+00,-100.50251336E-03,+643.21607351E-03
-23.82500E-06,+11.65829154849E+00,-50.25125667E-03,+648.24119909E-03
-23.80000E-06,+11.45728652179E+00,-201.00502670E-03,+643.21607351E-03
-23.77500E-06,+11.50753777847E+00,-50.25125668E-03,+643.21607351E-03
-23.75000E-06,+11.55778903515E+00,-201.00502670E-03,+633.16582237E-03
-23.72500E-06,+11.45728652179E+00,-201.00502670E-03,+643.21607351E-03
-23.70000E-06,+11.65829154848E+00,-201.00502670E-03,+643.21607351E-03
-23.67500E-06,+11.60804029181E+00,-201.00502670E-03,+643.21607351E-03
-23.65000E-06,+11.65829154849E+00,-201.00502670E-03,+653.26632466E-03
-23.62500E-06,+11.45728652179E+00,-201.00502670E-03,+643.21607351E-03
-23.60000E-06,+11.45728652180E+00,+0.0E+00,+643.21607351E-03
-23.57500E-06,+11.60804029181E+00,-201.00502670E-03,+638.19094794E-03
-23.55000E-06,+11.45728652179E+00,-201.00502670E-03,+623.11557122E-03
-23.52500E-06,+11.45728652179E+00,-150.75377003E-03,+638.19094794E-03
-23.50000E-06,+11.45728652179E+00,-201.00502670E-03,+643.21607351E-03
-23.47500E-06,+11.65829154849E+00,-201.00502670E-03,+638.19094794E-03
-23.45000E-06,+11.45728652179E+00,-201.00502670E-03,+643.21607351E-03
-23.42500E-06,+11.65829154849E+00,-201.00502670E-03,+623.11557122E-03
-23.40000E-06,+11.65829154848E+00,-201.00502670E-03,+603.01506892E-03
-23.37500E-06,+11.50753777848E+00,-201.00502670E-03,+628.14069679E-03
-23.35000E-06,+11.55778903515E+00,-201.00502670E-03,+633.16582236E-03
-23.32500E-06,+11.50753777846E+00,-201.00502670E-03,+623.11557122E-03
-23.30000E-06,+11.45728652179E+00,-201.00502670E-03,+623.11557122E-03
-23.27500E-06,+11.45728652179E+00,-201.00502670E-03,+618.09044564E-03
-23.25000E-06,+11.55778903513E+00,+0.0E+00,+623.11557122E-03
-23.22500E-06,+11.45728652179E+00,-201.00502670E-03,+618.09044564E-03
-23.20000E-06,+11.45728652179E+00,-201.00502670E-03,+623.11557122E-03
-23.17500E-06,+11.65829154849E+00,-201.00502670E-03,+603.01506892E-03
-23.15000E-06,+11.55778903513E+00,-301.50754004E-03,+613.06532007E-03
-23.12500E-06,+11.65829154849E+00,-201.00502670E-03,+603.01506892E-03
-23.10000E-06,+11.65829154849E+00,-201.00502670E-03,+603.01506892E-03
-23.07500E-06,+11.65829154849E+00,-201.00502670E-03,+603.01506892E-03
-23.05000E-06,+11.55778903513E+00,-201.00502670E-03,+613.06532007E-03
-23.02500E-06,+11.50753777845E+00,-201.00502670E-03,+623.11557122E-03
-23.00000E-06,+11.65829154848E+00,-402.01005338E-03,+603.01506892E-03
-22.97500E-06,+11.45728652179E+00,-201.00502670E-03,+603.01506892E-03
-22.95000E-06,+11.65829154849E+00,-100.50251336E-03,+603.01506892E-03
-22.92500E-06,+11.65829154849E+00,-201.00502670E-03,+618.09044564E-03
-22.90000E-06,+11.65829154848E+00,-10E-12,+603.01506892E-03
-22.87500E-06,+11.60804029180E+00,-201.00502670E-03,+603.01506892E-03
-22.85000E-06,+11.45728652179E+00,-201.00502670E-03,+603.01506892E-03
-22.82500E-06,+11.65829154849E+00,-201.00502670E-03,+587.93969219E-03
-22.80000E-06,+11.45728652181E+00,-201.00502670E-03,+603.01506892E-03
-22.77500E-06,+11.45728652179E+00,-201.00502670E-03,+603.01506892E-03
-22.75000E-06,+11.45728652179E+00,-201.00502670E-03,+582.91456662E-03
-22.72500E-06,+11.45728652179E+00,-150.75377004E-03,+582.91456662E-03
-22.70000E-06,+11.45728652181E+00,-201.00502670E-03,+582.91456662E-03
-22.67500E-06,+11.45728652179E+00,-201.00502670E-03,+603.01506892E-03
-22.65000E-06,+11.45728652179E+00,-201.00502670E-03,+582.91456662E-03
-22.62500E-06,+11.65829154849E+00,-201.00502670E-03,+582.91456662E-03
-22.60000E-06,+11.65829154849E+00,-201.00502670E-03,+603.01506892E-03
-22.57500E-06,+11.45728652179E+00,-201.00502670E-03,+562.81406432E-03
-22.55000E-06,+11.55778903516E+00,-201.00502670E-03,+582.91456662E-03
-22.52500E-06,+11.45728652179E+00,-150.75377004E-03,+562.81406432E-03
-22.50000E-06,+11.45728652179E+00,-20E-12,+582.91456662E-03
-22.47500E-06,+11.45728652179E+00,-150.75377001E-03,+582.91456662E-03
-22.45000E-06,+11.55778903516E+00,-201.00502670E-03,+572.86431547E-03
-22.42500E-06,+11.45728652179E+00,-150.75377004E-03,+562.81406432E-03
-22.40000E-06,+11.65829154849E+00,-201.00502670E-03,+582.91456662E-03
-22.37500E-06,+11.45728652179E+00,-201.00502670E-03,+562.81406432E-03
-22.35000E-06,+11.65829154849E+00,-402.01005340E-03,+562.81406432E-03
-22.32500E-06,+11.60804029183E+00,-201.00502670E-03,+582.91456662E-03
-22.30000E-06,+11.45728652179E+00,-201.00502670E-03,+562.81406433E-03
-22.27500E-06,+11.45728652179E+00,-201.00502670E-03,+562.81406432E-03
-22.25000E-06,+11.35678400843E+00,-201.00502670E-03,+562.81406432E-03
-22.22500E-06,+11.60804029183E+00,-201.00502670E-03,+562.81406432E-03
-22.20000E-06,+11.45728652179E+00,-20E-12,+562.81406432E-03
-22.17500E-06,+11.45728652179E+00,-150.75377001E-03,+562.81406432E-03
-22.15000E-06,+11.45728652179E+00,+0.0E+00,+552.76381317E-03
-22.12500E-06,+11.50753777845E+00,-201.00502670E-03,+542.71356203E-03
-22.10000E-06,+11.45728652179E+00,-201.00502670E-03,+542.71356203E-03
-22.07500E-06,+11.45728652179E+00,-201.00502670E-03,+542.71356203E-03
-22.05000E-06,+11.65829154849E+00,-100.50251333E-03,+552.76381318E-03
-22.02500E-06,+11.45728652179E+00,-201.00502670E-03,+542.71356203E-03
-22.00000E-06,+11.45728652179E+00,-201.00502670E-03,+542.71356203E-03
-21.97500E-06,+11.45728652179E+00,+0.0E+00,+542.71356203E-03
-21.95000E-06,+11.45728652179E+00,+0.0E+00,+542.71356203E-03
-21.92500E-06,+11.45728652179E+00,-201.00502670E-03,+542.71356203E-03
-21.90000E-06,+11.45728652179E+00,-201.00502670E-03,+542.71356203E-03
-21.87500E-06,+11.65829154849E+00,-201.00502670E-03,+542.71356203E-03
-21.85000E-06,+11.45728652179E+00,-201.00502670E-03,+522.61305973E-03
-21.82500E-06,+11.50753777845E+00,-201.00502670E-03,+537.68843645E-03
-21.80000E-06,+11.45728652179E+00,-201.00502670E-03,+542.71356203E-03
-21.77500E-06,+11.45728652179E+00,-201.00502670E-03,+522.61305973E-03
-21.75000E-06,+11.45728652179E+00,-201.00502670E-03,+522.61305973E-03
-21.72500E-06,+11.45728652179E+00,-201.00502670E-03,+522.61305973E-03
-21.70000E-06,+11.45728652179E+00,-201.00502670E-03,+522.61305973E-03
-21.67500E-06,+11.45728652179E+00,-201.00502670E-03,+522.61305973E-03
-21.65000E-06,+11.45728652179E+00,-201.00502670E-03,+532.66331088E-03
-21.62500E-06,+11.45728652179E+00,-201.00502670E-03,+527.63818530E-03
-21.60000E-06,+11.45728652181E+00,-20E-12,+522.61305973E-03
-21.57500E-06,+11.45728652179E+00,-50.25125670E-03,+522.61305973E-03
-21.55000E-06,+11.65829154849E+00,-201.00502670E-03,+522.61305973E-03
-21.52500E-06,+11.50753777845E+00,-201.00502670E-03,+527.63818530E-03
-21.50000E-06,+11.45728652179E+00,-201.00502668E-03,+502.51255743E-03
-21.47500E-06,+11.45728652179E+00,-201.00502670E-03,+502.51255743E-03
-21.45000E-06,+11.55778903512E+00,-201.00502670E-03,+512.56280858E-03
-21.42500E-06,+11.45728652179E+00,+0.0E+00,+507.53768300E-03
-21.40000E-06,+11.45728652179E+00,-201.00502668E-03,+522.61305973E-03
-21.37500E-06,+11.45728652179E+00,-201.00502670E-03,+522.61305973E-03
-21.35000E-06,+11.45728652179E+00,+0.0E+00,+502.51255743E-03
-21.32500E-06,+11.45728652179E+00,-201.00502670E-03,+517.58793416E-03
-21.30000E-06,+11.45728652177E+00,-201.00502670E-03,+502.51255743E-03
-21.27500E-06,+11.45728652179E+00,-201.00502670E-03,+502.51255743E-03
-21.25000E-06,+11.45728652179E+00,-201.00502670E-03,+502.51255743E-03
-21.22500E-06,+11.60804029184E+00,-150.75377005E-03,+502.51255743E-03
-21.20000E-06,+11.45728652182E+00,-201.00502670E-03,+502.51255743E-03
-21.17500E-06,+11.60804029179E+00,-201.00502670E-03,+502.51255743E-03
-21.15000E-06,+11.45728652179E+00,-201.00502670E-03,+502.51255743E-03
-21.12500E-06,+11.45728652179E+00,-201.00502670E-03,+502.51255743E-03
-21.10000E-06,+11.65829154847E+00,+0.0E+00,+502.51255743E-03
-21.07500E-06,+11.45728652179E+00,-50.25125670E-03,+502.51255743E-03
-21.05000E-06,+11.45728652179E+00,-201.00502670E-03,+482.41205513E-03
-21.02500E-06,+11.50753777844E+00,-201.00502670E-03,+482.41205513E-03
-21.00000E-06,+11.45728652179E+00,-201.00502670E-03,+482.41205514E-03
-20.97500E-06,+11.50753777849E+00,-201.00502670E-03,+497.48743186E-03
-20.95000E-06,+11.55778903517E+00,-201.00502670E-03,+482.41205513E-03
-20.92500E-06,+11.45728652179E+00,-201.00502670E-03,+482.41205513E-03
-20.90000E-06,+11.45728652179E+00,-201.00502670E-03,+482.41205513E-03
-20.87500E-06,+11.60804029179E+00,-201.00502670E-03,+497.48743186E-03
-20.85000E-06,+11.45728652179E+00,-201.00502670E-03,+492.46230628E-03
-20.82500E-06,+11.45728652179E+00,-201.00502670E-03,+482.41205513E-03
-20.80000E-06,+11.45728652179E+00,-201.00502670E-03,+482.41205513E-03
-20.77500E-06,+11.45728652179E+00,-201.00502670E-03,+482.41205513E-03
-20.75000E-06,+11.65829154849E+00,-100.50251332E-03,+472.36180398E-03
-20.72500E-06,+11.45728652179E+00,-201.00502670E-03,+467.33667841E-03
-20.70000E-06,+11.65829154849E+00,-30E-12,+462.31155284E-03
-20.67500E-06,+11.45728652179E+00,-201.00502670E-03,+462.31155284E-03
-20.65000E-06,+11.45728652179E+00,-201.00502670E-03,+472.36180398E-03
-20.62500E-06,+11.45728652179E+00,-201.00502670E-03,+467.33667841E-03
-20.60000E-06,+11.65829154846E+00,-201.00502670E-03,+462.31155283E-03
-20.57500E-06,+11.45728652179E+00,+0.0E+00,+477.38692956E-03
-20.55000E-06,+11.45728652179E+00,-201.00502670E-03,+462.31155284E-03
-20.52500E-06,+11.60804029184E+00,-201.00502670E-03,+462.31155284E-03
-20.50000E-06,+11.45728652179E+00,-201.00502667E-03,+462.31155284E-03
-20.47500E-06,+11.65829154849E+00,-150.75377000E-03,+462.31155284E-03
-20.45000E-06,+11.45728652179E+00,-201.00502670E-03,+452.26130169E-03
-20.42500E-06,+11.45728652179E+00,-201.00502670E-03,+457.28642727E-03
-20.40000E-06,+11.45728652179E+00,-201.00502670E-03,+442.21105054E-03
-20.37500E-06,+11.60804029179E+00,-50.25125670E-03,+457.28642726E-03
-20.35000E-06,+11.45728652179E+00,-201.00502670E-03,+442.21105054E-03
-20.32500E-06,+11.45728652179E+00,-201.00502670E-03,+462.31155284E-03
-20.30000E-06,+11.45728652179E+00,+0.0E+00,+442.21105054E-03
-20.27500E-06,+11.45728652179E+00,-201.00502670E-03,+447.23617612E-03
-20.25000E-06,+11.45728652179E+00,-201.00502670E-03,+442.21105054E-03
-20.22500E-06,+11.50753777844E+00,-201.00502670E-03,+422.11054824E-03
-20.20000E-06,+11.65829154849E+00,-201.00502670E-03,+442.21105054E-03
-20.17500E-06,+11.45728652179E+00,-201.00502670E-03,+442.21105054E-03
-20.15000E-06,+11.45728652179E+00,-100.50251338E-03,+432.16079939E-03
-20.12500E-06,+11.45728652179E+00,-50.25125664E-03,+427.13567381E-03
-20.10000E-06,+11.45728652179E+00,-201.00502667E-03,+442.21105054E-03
-20.07500E-06,+11.60804029179E+00,-201.00502670E-03,+437.18592496E-03
-20.05000E-06,+11.45728652179E+00,-100.50251332E-03,+452.26130169E-03
-20.02500E-06,+11.60804029185E+00,-201.00502670E-03,+442.21105054E-03
-20.00000E-06,+11.45728652179E+00,-201.00502667E-03,+442.21105054E-03
-19.97500E-06,+11.45728652179E+00,-150.75376999E-03,+427.13567382E-03
-19.95000E-06,+11.55778903511E+00,+0.0E+00,+442.21105054E-03
-19.92500E-06,+11.45728652179E+00,+1.50753770030E+00,+422.11054824E-03
-19.90000E-06,+11.45728652179E+00,+12.06030160189E+00,+381.90954365E-03
-19.87500E-06,+11.50753777850E+00,+12.06030160189E+00,+396.98492037E-03
-19.85000E-06,+11.45728652179E+00,+12.26130662858E+00,+442.21105054E-03
-19.82500E-06,+11.50753777844E+00,+12.26130662858E+00,+442.21105054E-03
-19.80000E-06,+11.45728652179E+00,+12.26130662855E+00,+422.11054824E-03
-19.77500E-06,+11.45728652179E+00,+12.06030160189E+00,+442.21105054E-03
-19.75000E-06,+11.45728652179E+00,+11.85929657519E+00,+422.11054824E-03
-19.72500E-06,+11.45728652179E+00,+11.45728652179E+00,+422.11054824E-03
-19.70000E-06,+11.25628149513E+00,+11.25628149509E+00,+422.11054824E-03
-19.67500E-06,+11.45728652179E+00,+11.00502521169E+00,+422.11054824E-03
-19.65000E-06,+11.55778903517E+00,+10.95477395501E+00,+422.11054824E-03
-19.62500E-06,+11.40703526515E+00,+10.85427144170E+00,+396.98492037E-03
-19.60000E-06,+10.25125636164E+00,+10.85427144170E+00,+381.90954365E-03
-19.57500E-06,+10.80402018499E+00,+10.85427144170E+00,+442.21105054E-03
-19.55000E-06,+11.35678400848E+00,+10.85427144170E+00,+432.16079939E-03
-19.52500E-06,+11.25628149509E+00,+10.65326641500E+00,+422.11054824E-03
-19.50000E-06,+11.05527646840E+00,+10.85427144170E+00,+422.11054824E-03
-19.47500E-06,+11.45728652179E+00,+10.85427144170E+00,+442.21105054E-03
-19.45000E-06,+11.65829154849E+00,+10.85427144170E+00,+422.11054824E-03
-19.42500E-06,+11.45728652179E+00,+10.85427144170E+00,+422.11054824E-03
-19.40000E-06,+11.65829154846E+00,+10.85427144170E+00,+422.11054824E-03
-19.37500E-06,+11.60804029178E+00,+10.85427144170E+00,+422.11054824E-03
-19.35000E-06,+11.65829154849E+00,+10.85427144170E+00,+402.01004595E-03
-19.32500E-06,+11.45728652179E+00,+10.85427144170E+00,+422.11054824E-03
-19.30000E-06,+11.45728652179E+00,+10.85427144170E+00,+422.11054824E-03
