x-axis,1,2,3
second,Volt,Volt,Volt
-25.00000E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-24.97500E-06,+20.52763831243E+00,+10.85427144170E+00,+23.11557807028E+00
-24.95000E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-24.92500E-06,+20.67839208245E+00,+10.65326641500E+00,+23.11557807028E+00
-24.90000E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-24.87500E-06,+20.67839208245E+00,+10.65326641500E+00,+23.11557807028E+00
-24.85000E-06,+20.57788956910E+00,+10.65326641500E+00,+23.11557807028E+00
-24.82500E-06,+20.67839208245E+00,+10.70351767167E+00,+23.11557807028E+00
-24.80000E-06,+20.67839208245E+00,+10.65326641500E+00,+23.11557807028E+00
-24.77500E-06,+20.67839208245E+00,+10.85427144170E+00,+22.91457304358E+00
-24.75000E-06,+20.57788956911E+00,+10.75376892835E+00,+23.01507555693E+00
-24.72500E-06,+20.47738705575E+00,+10.70351767167E+00,+23.11557807028E+00
-24.70000E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-24.67500E-06,+20.67839208245E+00,+10.80402018502E+00,+23.11557807028E+00
-24.65000E-06,+20.47738705575E+00,+10.65326641500E+00,+23.01507555693E+00
-24.62500E-06,+20.67839208245E+00,+10.85427144170E+00,+22.91457304358E+00
-24.60000E-06,+20.67839208245E+00,+10.65326641500E+00,+23.11557807028E+00
-24.57500E-06,+20.67839208245E+00,+10.70351767168E+00,+23.11557807028E+00
-24.55000E-06,+20.57788956911E+00,+10.85427144170E+00,+23.01507555694E+00
-24.52500E-06,+20.67839208245E+00,+10.70351767167E+00,+22.96482430026E+00
-24.50000E-06,+20.47738705576E+00,+10.85427144170E+00,+23.11557807028E+00
-24.47500E-06,+20.47738705575E+00,+10.80402018502E+00,+23.11557807028E+00
-24.45000E-06,+20.47738705575E+00,+10.75376892835E+00,+22.91457304358E+00
-24.42500E-06,+20.47738705575E+00,+10.65326641500E+00,+22.91457304358E+00
-24.40000E-06,+20.67839208245E+00,+10.65326641500E+00,+22.91457304358E+00
-24.37500E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-24.35000E-06,+20.67839208245E+00,+10.75376892835E+00,+23.11557807028E+00
-24.32500E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-24.30000E-06,+20.47738705576E+00,+10.85427144170E+00,+23.11557807028E+00
-24.27500E-06,+20.52763831243E+00,+10.65326641500E+00,+23.11557807028E+00
-24.25000E-06,+20.47738705575E+00,+10.85427144170E+00,+23.11557807028E+00
-24.22500E-06,+20.62814082578E+00,+10.70351767167E+00,+22.96482430026E+00
-24.20000E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-24.17500E-06,+20.67839208245E+00,+10.65326641500E+00,+22.91457304358E+00
-24.15000E-06,+20.47738705575E+00,+10.65326641500E+00,+23.01507555693E+00
-24.12500E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-24.10000E-06,+20.47738705576E+00,+10.85427144170E+00,+23.11557807028E+00
-24.07500E-06,+20.67839208245E+00,+10.65326641500E+00,+23.11557807028E+00
-24.05000E-06,+20.57788956910E+00,+10.65326641500E+00,+22.91457304358E+00
-24.02500E-06,+20.62814082578E+00,+10.65326641500E+00,+22.91457304358E+00
-24.00000E-06,+20.67839208245E+00,+10.65326641500E+00,+23.11557807028E+00
-23.97500E-06,+20.47738705575E+00,+10.70351767168E+00,+23.06532681360E+00
-23.95000E-06,+20.47738705575E+00,+10.65326641500E+00,+23.11557807028E+00
-23.92500E-06,+20.47738705575E+00,+10.65326641500E+00,+23.11557807028E+00
-23.90000E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-23.87500E-06,+20.47738705575E+00,+10.85427144170E+00,+23.11557807028E+00
-23.85000E-06,+20.57788956910E+00,+10.65326641500E+00,+23.11557807028E+00
-23.82500E-06,+20.67839208245E+00,+10.80402018503E+00,+23.11557807028E+00
-23.80000E-06,+20.67839208245E+00,+10.85427144170E+00,+22.91457304358E+00
-23.77500E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-23.75000E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-23.72500E-06,+20.62814082579E+00,+10.70351767167E+00,+22.96482430025E+00
-23.70000E-06,+20.47738705576E+00,+10.85427144170E+00,+23.11557807028E+00
-23.67500E-06,+20.62814082577E+00,+10.85427144170E+00,+23.11557807028E+00
-23.65000E-06,+20.67839208245E+00,+10.75376892836E+00,+23.11557807028E+00
-23.62500E-06,+20.67839208245E+00,+10.70351767167E+00,+23.11557807028E+00
-23.60000E-06,+20.47738705575E+00,+10.85427144169E+00,+22.91457304358E+00
-23.57500E-06,+20.52763831244E+00,+10.65326641500E+00,+23.11557807028E+00
-23.55000E-06,+20.67839208245E+00,+10.75376892834E+00,+23.01507555693E+00
-23.52500E-06,+20.47738705575E+00,+10.85427144170E+00,+22.96482430025E+00
-23.50000E-06,+20.67839208244E+00,+10.65326641501E+00,+23.11557807027E+00
-23.47500E-06,+20.52763831244E+00,+10.65326641500E+00,+23.11557807028E+00
-23.45000E-06,+20.57788956911E+00,+10.65326641500E+00,+23.11557807028E+00
-23.42500E-06,+20.47738705575E+00,+10.85427144170E+00,+23.11557807028E+00
-23.40000E-06,+20.67839208245E+00,+10.85427144169E+00,+23.11557807027E+00
-23.37500E-06,+20.67839208245E+00,+10.70351767168E+00,+23.11557807028E+00
-23.35000E-06,+20.47738705575E+00,+10.65326641500E+00,+22.91457304358E+00
-23.32500E-06,+20.47738705575E+00,+10.65326641500E+00,+23.11557807028E+00
-23.30000E-06,+20.47738705576E+00,+10.65326641500E+00,+23.11557807027E+00
-23.27500E-06,+20.47738705575E+00,+10.85427144170E+00,+22.96482430027E+00
-23.25000E-06,+20.57788956909E+00,+10.75376892836E+00,+23.11557807028E+00
-23.22500E-06,+20.67839208245E+00,+10.85427144170E+00,+23.11557807028E+00
-23.20000E-06,+20.47738705577E+00,+10.85427144170E+00,+23.11557807028E+00
-23.17500E-06,+20.47738705575E+00,+10.85427144170E+00,+23.11557807028E+00
-23.15000E-06,+20.57788956909E+00,+10.85427144170E+00,+23.01507555692E+00
-23.12500E-06,+20.67839208245E+00,+10.65326641500E+00,+23.11557807028E+00
-23.10000E-06,+20.47738705575E+00,+10.85427144170E+00,+23.11557807028E+00
-23.07500E-06,+20.52763831244E+00,+10.65326641500E+00,+23.11557807028E+00
