x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-06,+11.25628149509E+00,+23.71859315038E+00,+502.51255743E-03,+462.31155284E-03
-49.95000E-06,+11.25628149509E+00,+23.71859315038E+00,+497.48743186E-03,+462.31155284E-03
-49.90000E-06,+11.25628149509E+00,+23.31658309698E+00,+482.41205513E-03,+482.41205513E-03
-49.85000E-06,+11.25628149509E+00,+23.61809063703E+00,+497.48743186E-03,+467.33667841E-03
-49.80000E-06,+11.05527646840E+00,+23.31658309698E+00,+482.41205513E-03,+482.41205513E-03
-49.75000E-06,+11.25628149509E+00,+23.71859315038E+00,+502.51255743E-03,+482.41205513E-03
-49.70000E-06,+11.25628149509E+00,+23.71859315038E+00,+502.51255743E-03,+482.41205513E-03
-49.65000E-06,+11.25628149509E+00,+23.31658309698E+00,+502.51255743E-03,+482.41205513E-03
-49.60000E-06,+11.25628149509E+00,+23.71859315038E+00,+502.51255743E-03,+482.41205513E-03
-49.55000E-06,+11.25628149509E+00,+23.41708561033E+00,+507.53768301E-03,+507.53768301E-03
-49.50000E-06,+11.25628149509E+00,+23.71859315038E+00,+502.51255743E-03,+502.51255743E-03
-49.45000E-06,+11.40703526512E+00,+23.71859315038E+00,+502.51255743E-03,+517.58793416E-03
-49.40000E-06,+11.25628149509E+00,+23.71859315037E+00,+502.51255743E-03,+482.41205513E-03
-49.35000E-06,+11.25628149509E+00,+23.31658309698E+00,+522.61305973E-03,+502.51255743E-03
-49.30000E-06,+11.25628149509E+00,+23.71859315038E+00,+522.61305973E-03,+502.51255743E-03
-49.25000E-06,+11.25628149509E+00,+23.31658309698E+00,+522.61305973E-03,+522.61305973E-03
-49.20000E-06,+11.25628149510E+00,+23.71859315038E+00,+522.61305973E-03,+522.61305973E-03
-49.15000E-06,+11.25628149509E+00,+23.31658309698E+00,+517.58793415E-03,+507.53768301E-03
-49.10000E-06,+11.25628149509E+00,+23.51758812367E+00,+532.66331088E-03,+522.61305973E-03
-49.05000E-06,+11.20603023842E+00,+23.71859315038E+00,+522.61305973E-03,+527.63818530E-03
-49.00000E-06,+11.25628149509E+00,+23.31658309699E+00,+522.61305973E-03,+542.71356203E-03
-48.95000E-06,+11.25628149509E+00,+23.41708561034E+00,+542.71356203E-03,+527.63818530E-03
-48.90000E-06,+11.25628149509E+00,+23.51758812369E+00,+552.76381317E-03,+542.71356203E-03
-48.85000E-06,+11.25628149509E+00,+23.71859315038E+00,+542.71356203E-03,+537.68843645E-03
-48.80000E-06,+11.45728652179E+00,+23.71859315037E+00,+562.81406432E-03,+542.71356203E-03
-48.75000E-06,+11.25628149509E+00,+23.31658309698E+00,+542.71356203E-03,+542.71356203E-03
-48.70000E-06,+11.25628149509E+00,+23.71859315038E+00,+562.81406432E-03,+552.76381317E-03
-48.65000E-06,+11.30653275176E+00,+23.71859315038E+00,+557.78893875E-03,+562.81406432E-03
-48.60000E-06,+11.25628149509E+00,+23.31658309698E+00,+562.81406432E-03,+562.81406432E-03
-48.55000E-06,+11.25628149509E+00,+23.41708561034E+00,+577.88944105E-03,+547.73868760E-03
-48.50000E-06,+11.25628149509E+00,+23.71859315038E+00,+562.81406432E-03,+542.71356203E-03
-48.45000E-06,+11.25628149509E+00,+23.41708561032E+00,+562.81406432E-03,+562.81406432E-03
-48.40000E-06,+11.25628149509E+00,+23.71859315038E+00,+562.81406432E-03,+562.81406432E-03
-48.35000E-06,+11.30653275177E+00,+23.61809063702E+00,+562.81406432E-03,+562.81406432E-03
-48.30000E-06,+11.25628149509E+00,+23.51758812369E+00,+582.91456662E-03,+582.91456662E-03
-48.25000E-06,+11.25628149509E+00,+23.71859315038E+00,+582.91456662E-03,+582.91456662E-03
